title,container-title,author,issued,DOI,abstract,link,type
Challenges of coreference resolution in biomedical text and experimenting with the biological entities,,"Mondal I, Sarkar S, Goyal P",2018,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:epqYDVWIO7EC,
A distributed platform for Sanskrit processing,"Proceedings of COLING 2012, 1011-1028, 2012","Goyal P, Huet G, Kulkarni A, Scharf P, Bunker R",2012,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:tOudhMTPpwUC,
Design and analysis of a lean interface for sanskrit corpus annotation,"Journal of Language Modelling 4 (2), 145–182-145–182, 2016","Goyal P, Huet G",2016,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:Y5dfb0dijaUC,
Analysis of Sanskrit text: Parsing and semantic relations,"International Sanskrit Computational Linguistics Symposium, 200-218, 2007","Goyal P, Arora V, Behera L",2007,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:2osOgNQ5qMEC,
Completeness analysis of a Sanskrit reader,"Proceedings, 5th International Symposium on Sanskrit Computational …, 2013","Goyal P, Huet G",2013,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:u-x6o8ySG0sC,
Translation divergence in English-Sanskrit-Hindi language pairs,"International Sanskrit Computational Linguistics Symposium, 134-143, 2009","Goyal P, Sinha RMK",2009,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:d1gkVwhDpl0C,
Design of a lean interface for Sanskrit corpus annotation,"Proceedings of ICON, 177-186, 2013","Huet G, Goyal P",2013,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:YsMSGLbcyi4C,
Meter identification of sanskrit verse,"The Sanskrit Library, USA, 2013","Melnad KS, Goyal P, Scharf P",2013,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:p2g8aNsByqUC,
A study towards design of an English to Sanskrit machine translation system,"International Sanskrit Computational Linguistics Symposium, 287-305, 2007","Goyal P, Sinha RMK",2007,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:u5HHmVD_uO8C,
Converting Phrase Structures to Dependency Structures in Sanskrit,"Coling 2014, 2014","Goyal P, Kulkarni A",2014,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:0EnyYjriUFMC,
"Voice, preverb, and transitivity restrictions in sanskrit verb use","Sanskrit Syntax, Selected papers presented at the seminar on sanskrit syntax …, 2015","Scharf P, Goyal P, Ajotikar A, Ajotikar T",2015,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:u9iWguZQMMsC,
Proceedings of the 6th International Sanskrit Computational Linguistics Symposium,"Proceedings of the 6th International Sanskrit Computational Linguistics …, 2019",Goyal P,2019,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:kz9GbA2Ns4gC,
A graph-based framework for structured prediction tasks in Sanskrit,"Computational Linguistics 46 (4), 785-845, 2021","Krishna A, Santra B, Gupta A, Satuluri P, Goyal P",2021,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:yMeIxYmEMEAC,
Automatic speech recognition in Sanskrit: A new speech corpus and modelling insights,"arXiv preprint arXiv:2106.05852, 2021","Adiga D, Kumar R, Krishna A, Jyothi P, Ramakrishnan G, Goyal P",2021,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:vDZJ-YLwNdEC,
A dataset for Sanskrit word segmentation,"Proceedings of the Joint SIGHUM Workshop on Computational Linguistics for …, 2017","Krishna A, Satuluri P, Goyal P",2017,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:eq2jaN3J8jMC,
Building a word segmenter for Sanskrit overnight,"arXiv preprint arXiv:1802.06185, 2018","Reddy V, Krishna A, Sharma VD, Gupta P, Goyal P",2018,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:fEOibwPWpKIC,
Compound type identification in sanskrit: what roles do the corpus and grammar play?,"Proceedings of the 6th Workshop on South and Southeast Asian Natural …, 2016","Krishna A, Satuluri P, Sharma S, Kumar A, Goyal P",2016,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:JoZmwDi-zQgC,
